country,2017,2018,2019,2020,2021
World,17561817213,19325966570,18752787083,17486527426,21953101352
China,2271796142,2494230195,2498334248,2588402392,3361814264
United States of America,1547195403,1665688484,1642820352,1424934919,1753941406
Germany,1444776367,1556622939,1486877250,1379900278,1626387793
Japan,698021623,738164252,705842013,640953137,757460945
Netherlands,527907822,587893084,576784455,551352792,693800454
Hong Kong China,549861455,569105740,535711019,551515756,672153980
Korea Republic of,573716618,605169190,542333337,512788606,644438622
Italy,507430236,549906996,537748429,498803832,601662527
France,524180934,569764876,556550374,476082181,569479663
Belgium,429799692,468629855,446876870,419478288,549499377
Canada,421161325,450790344,446562311,389850223,503726004
Mexico,409476446,450920374,460603696,416982170,494595503
Russian Federation,357083135,449347157,422777167,337105352,492314339
United Kingdom,441847324,490840364,468322416,395692087,467783164
Singapore,373055543,412077471,390386234,373909153,457749966
Taipei Chinese,315734179,334244241,329512433,346633936,447565068
Viet Nam,215118607,243698698,264610323,281441457,417970236
India,295862157,323997680,323250726,275488745,394813673
Spain,311600619,346064315,337215114,312080513,391558519
Switzerland,299507520,310742992,314145207,318985767,380243724
Australia,229722178,254525413,272579608,254531426,345599938
Poland,221307621,261815269,251864773,254169032,317832125
Malaysia,217715510,247489373,238161125,233553703,299288393
Brazil,217739177,239889210,223998669,209180242,280814577
Saudi Arabia,220068596,294535553,251800458,176507506,267546847
Thailand,235871371,249921314,245380465,229277734,267492416
United Arab Emirates,313547597,321006905,315942728,335296908,240939863
Indonesia,168810637,180215036,167682996,163306490,228231164
Czech Republic,182231361,202521578,199469710,192307380,227160991
T�rkiye,156992940,167923862,180870841,169657940,225264314
Austria,159970531,176991971,171532055,162145129,201647282
Ireland,137501667,164979880,169636552,180126604,189996305
Sweden,153158565,165966634,160531242,154935587,189845174
Norway,102072155,123054756,102793716,82429462,160479746
Hungary,113382077,123957885,122180658,119970720,141256736
Denmark,101434431,108521449,110230351,107223237,125200216
South Africa,89555817,95179154,90419473,85686133,123734050
Slovakia,83475386,93403168,89909085,86707796,104360088
Chile,66552208,75826997,72779576,69964786,92887987
Romania,70626887,80077606,77298748,71046399,88389729
Iraq,69483729,97553348,91471933,64746724,84370080
Finland,67280641,75258290,72839176,65606976,81326554
Qatar,67498106,84904617,72934956,51504158,79869446
Argentina,58644734,61781529,65115327,54883822,77838728
Portugal,62116841,74135906,67064074,61491411,75196452
Iran Islamic Republic of,91737444,96617521,48648949,41041217,75144618
Philippines,63233344,67487925,70334023,63879430,74619723
Ukraine,43428391,47334680,49853049,49388093,65870276
Israel,61150141,61906412,58488466,50153246,59828554
Kuwait,54985137,71941445,64482097,40149524,57233564
Oman,32904047,41760976,42403037,34919546,56496833
Peru,44237949,47223269,45135222,38757234,56260115
Kazakhstan,48342145,60956233,57722942,46949697,54844772
Bangladesh,40834301,45463819,47564686,42760660,52941169
Nigeria,41010138,52920065,53624701,33361475,47570421
Greece,32154816,39490521,37885527,35070462,47205645
Slovenia,31893790,36471279,37574594,37471094,46773357
New Zealand,37016410,38434847,38183311,37468046,43361858
Bulgaria,31371447,33667657,33351429,31918090,41943036
Lithuania,29349549,33334577,33150772,32837539,40813701
Egypt,26434038,29483042,30632553,26815145,40701704
Colombia,37770123,41769699,39496225,31045676,40488600
Belarus,29239994,33726141,32955122,29179441,39889023
Algeria,35191117,43073941,36797059,22483080,37870723
Morocco,25619900,29317739,29592492,27704922,36578743
Angola,34815223,42021981,34819241,21043779,33743794
Libya State of,20135528,30040892,29285909,9460678,31557051
Pakistan,21911598,23778621,23818817,22245688,28880006
Ecuador,19092352,21627978,22329379,20226568,26269228
Serbia,16946130,19157001,19557555,19384734,25563527
Croatia,15732485,17210469,17063050,16991280,22674487
Estonia,15387735,17851478,16807408,16922316,22280099
Azerbaijan,15306018,19489068,19635203,13732637,22206671
Latvia,13189947,15065000,14447102,15196527,19447687
Cambodia,11268954,12707908,14824722,17716469,17571783
