country,2017,2018,2019,2020,2021
World,17793323607,19671699736,19106572860,17719396968,22211416970
United States of America,2406075845,2609126878,2563536173,2406931650,2937064484
China,1840957060,2134987265,2066513429,2057021048,2675680064
Germany,1164586085,1286008402,1236217435,1172923865,1421195357
Japan,672100069,749092205,720964445,634678167,772678811
Hong Kong China,589317440,627327031,578590151,573061310,713969246
France,610231098,666157927,643953084,569325016,701907963
United Kingdom,640907689,671694258,692494170,634174870,688251482
Netherlands,461902679,521035628,514857688,484088531,623246504
Korea Republic of,478413948,535172391,503259397,467540264,615034495
India,443852795,509273228,478883729,367980363,570402004
Italy,453583034,503581134,474957328,426475840,557227660
Belgium,409464298,455053174,427766455,395854450,532547499
Mexico,420369150,464276595,455235784,382979896,506565459
Canada,432857718,460109333,453157225,404275453,489582673
Spain,341421161,391056705,375485170,329738801,426059817
Singapore,327492650,370940515,359008256,328822696,406912769
Taipei Chinese,257510859,285050277,285906281,287171262,382498457
Viet Nam,213215299,236868823,253442016,261309452,341706881
Poland,217978576,267699887,246653880,254660433,335451322
Switzerland,269726453,279244339,277207598,291035118,323063106
Russian Federation,226966395,238151375,243780553,231667985,293501672
Turkey,233799651,223046879,210346890,219514373,271422758
Thailand,224999327,251099199,240139196,208615061,269102030
Australia,221108910,227703770,214273705,202277035,248893435
Malaysia,195080585,217664499,204988314,189559672,238321107
Brazil,150749453,181230569,177341225,158786825,219408049
Austria,166475081,184195201,176596131,164635579,218972302
Czech Republic,162898932,184924023,179273065,171440208,211839349
United Arab Emirates,273710850,261510757,267937296,246961071,210746748
Indonesia,156925150,188711246,171275737,141622127,195712409
Sweden,153934736,170252579,158958178,149436257,187116442
Saudi Arabia,126758508,135211178,144334893,131328602,152333959
Hungary,104283799,117381593,117324011,113422659,138904664
Philippines,98484468,115119184,112908749,90758564,124386497
Denmark,92117788,101699638,97471945,96871659,121628401
Ireland,93272209,107999859,101131299,99520600,119507355
Romania,85318177,97877633,96644319,92056306,116401945
Slovakia,81935090,92952835,90908109,84998492,104682098
Norway,82713861,87611853,85927067,81320407,98636184
Portugal,78746119,95629299,89541380,77882921,97857157
Chile,59939373,69212583,72827713,61395860,95168456
South Africa,83293796,94023947,88216179,68704670,93614253
Israel,69115976,76584110,76578559,69260696,90279719
Finland,70100320,78352161,73719857,68266522,85992875
Greece,55300598,65141448,62198045,55533638,75983832
Egypt,66763870,82444514,78657518,60279554,73781229
Pakistan,57518651,60391133,50134812,45841651,73106624
Bangladesh,50330323,57705432,58020471,50092610,73028639
Ukraine,49439156,57187093,60684881,53978092,69962816
Argentina,66938085,65482814,49125030,42355637,63183753
Colombia,46075705,51232805,50413025,43488662,61101362
Morocco,45083716,51253928,51067504,44518195,58667257
"Iran, Islamic Republic of",51612277,41236168,43975568,38804578,52957972
Nigeria,28839569,36477277,47387304,53010001,52441679
Peru,39763959,43144346,42364042,36064092,51177743
Slovenia,31149444,36267338,38162054,36512669,49607332
New Zealand,40139986,43816734,42320991,37055600,49589283
Bulgaria,34119335,37906343,37674822,34978941,47450654
Kazakhstan,29304709,32533536,38356664,38081411,47179171
Iraq,51546265,53696956,56459723,51972299,45548111
Lithuania,30978718,36501414,35759416,33344356,44549993
Belarus,34234849,38408912,39476679,32767433,41810690
Algeria,46053016,49511307,42580922,34664742,35373116
Serbia,22125720,25816931,26548364,26154982,33791355
