country,2017,2018,2019,2020,2021
World,168810637,180215036,167682996,163306490,228231164
China,23049296,27126932,27961887,31775692,53713561
United States of America,17810363,18471422,17873447,18666768,25665933
Japan,17790812,19479892,16003261,13662871,17736773
India,14083573,13725676,11823491,10413999,13263613
Malaysia,8467527,9436721,8801815,8130627,11909374
Singapore,12767193,12991593,12916730,10712315,11176000
Philippines,6627222,6825460,6770111,5898710,8555012
Korea Republic of,8186977,9532500,7234409,6506501,8408928
Thailand,6462142,6818949,6218393,5112862,6937495
Taipei Chinese,4218604,4700894,4034832,4098805,6856873
Viet Nam,3587475,4583937,5153358,4941002,6663373
Netherlands,4038084,3898166,3204951,3114023,4619756
Pakistan,2398093,2467867,1944020,2386519,3811373
Australia,2509179,2800076,2328625,2506356,3023536
Bangladesh,1596615,1888045,1913789,1685821,2920373
Germany,2669462,2709812,2405755,2456986,2799691
Italy,1937884,1921238,1749463,1746083,2791746
Spain,2011926,2248570,1599205,1515572,2340322
Hong Kong China,2397924,2559215,2501674,2037314,1934964
United Arab Emirates,1630671,1460699,1471228,1243271,1805430
Egypt,1253624,1033514,1012782,1056619,1634391
Belgium,1241869,1261806,1075681,1237316,1612938
Turkey,1168988,1181874,1147880,1048246,1544293
Saudi Arabia,1380375,1222427,1503159,1338136,1537819
United Kingdom,1407592,1466108,1351507,1283654,1472630
Russian Federation,1225714,1001142,864081,973824,1453228
Brazil,1229641,1145594,1002647,1015166,1336006
Switzerland,1244839,669931,740723,2398172,1312297
Mexico,987061,905534,939279,936680,1254023
Myanmar,829501,897490,875626,1031955,1119341
Canada,822063,914292,858206,789050,1057831
France,1003618,1039986,1051017,945123,1025147
South Africa,704339,645592,588830,572198,940504
New Zealand,437819,490803,447513,480011,686788
Poland,384943,461072,483782,441105,614150
Kenya,290766,302904,264932,388340,531371
Cambodia,513858,525378,618521,541302,526901
Nigeria,343804,421221,424297,371047,441351
Ukraine,296889,232537,256102,223916,416994
Sri Lanka,292807,320578,321364,265928,373526
Tanzania United Republic of,277412,263182,262864,244101,361176
Colombia,122325,141050,140076,125366,326354
Estonia,76240,99992,167499,182155,322010
Peru,166789,222115,199351,172777,318158
Djibouti,202486,211544,162584,195595,311245
Jordan,104618,108711,108363,98126,309630
Georgia,59044,51273,42211,45371,273866
Argentina,266442,238283,202224,159080,260328
Togo,132694,147999,139158,131897,258842
Chile,158481,158974,126678,144764,258291
Oman,257487,321750,294125,184148,249411
Benin,201125,234885,148007,141983,248799
Timor-Leste,228150,189658,210737,221397,247152
Sweden,149663,161824,155721,172302,238958
Algeria,206996,199514,156140,154297,235776
Greece,181477,230764,214820,209722,226818
Mauritania,99324,75959,59478,81868,217499
Iraq,126055,136567,168928,188120,213761
Brunei Darussalam,64556,61181,103154,128975,210723
Qatar,74774,91231,168394,184329,208358
Denmark,192930,201283,195334,163900,201807
Ghana,108064,121443,172413,135099,198593
Papua New Guinea,174853,213964,153280,139010,196015
Iran Islamic Republic of,312200,296520,118099,198261,187067
Angola,90181,91547,100807,100222,168320
Senegal,95114,55633,49901,67680,158064
Honduras,18539,26846,25305,34966,154356
Israel,126288,123174,120631,157528,132228
Yemen,121158,131962,150038,129937,129600
Haiti,120365,118300,98861,140636,129294
Kuwait,129566,137008,196545,148971,128300
Portugal,163391,152675,138464,105804,124104
C�te d'Ivoire,36767,54509,75179,78071,122810
Slovenia,107354,104657,105920,80662,122619
Sudan,61118,89620,102292,113111,119517
Ecuador,57290,76894,67444,47813,113154
