country,2017,2018,2019,2020,2021
World,15381613,15917897,17813565,16680358,20707717
United States of America,5182865,4846075,4813777,4872519,6357519
China,472710,1355605,3981083,3107150,3699525
Japan,1678286,1505497,1442958,1324693,1464914
Spain,1216386,1209338,1128888,993900,1337392
France,815632,803179,709758,722069,898584
Italy,492158,555668,481302,445897,656498
Netherlands,346608,372074,346780,424637,517453
Korea Republic of,434825,460837,450221,441702,501638
United Kingdom,457069,416207,433507,401259,467659
Canada,384413,354583,331119,325096,394237
Russian Federation,187860,218092,245720,256550,385017
Germany,394190,369011,328593,368614,375910
Belgium,456776,375148,309422,318395,353381
Viet Nam,430054,387549,220939,265594,332369
Taipei Chinese,231573,258476,283089,327101,287794
Hong Kong China,337453,349652,311336,242688,281502
Portugal,221741,248530,192706,176588,238540
United Arab Emirates,222581,235757,231099,216946,222677
Australia,165239,188364,165685,149225,187369
Thailand,87731,97426,89586,72790,159197
Egypt,68986,136630,164142,150308,139185
Malaysia,72006,67844,93607,83721,96971
Singapore,68049,70136,74528,65021,87318
Greece,49159,56746,59915,49924,84586
Chile,36095,33938,33006,33070,74330
Peru,44392,62379,40822,69301,69547
Switzerland,69552,65422,53713,63072,66424
Denmark,67578,47242,43609,39703,63045
Colombia,34811,39053,38040,40258,56527
Poland,25052,33387,36328,41172,52003
Guatemala,21329,19019,18071,25183,43541
Saudi Arabia,45959,46702,53015,62023,41924
South Africa,46095,43310,30384,18954,40115
Ukraine,9943,11500,17639,25320,37770
Mexico,54536,29071,0,0,36717
New Zealand,36539,33681,33896,29513,35761
Kuwait,31258,35137,34094,35911,34843
Austria,30736,33102,35179,30156,33569
Indonesia,9528,5388,16248,17443,32740
Ireland,15824,18189,23028,23141,29750
India,10822,25024,21818,18113,25674
Sweden,21152,19526,18308,16805,23621
Morocco,15296,21182,18222,15265,22280
Norway,23532,20851,20025,18153,20422
Romania,8833,12896,13613,13401,19206
Czech Republic,10576,11931,15535,12644,18542
Turkey,4464,5811,8117,5242,16385
Israel,11451,13385,11292,8678,14687
Qatar,12434,16211,13984,12289,13211
Macao China,,14073,12674,8239,12214
Belarus,8718,11274,10668,7311,11669
Lithuania,5030,6631,7594,7770,11562
Costa Rica,12713,15670,12042,9366,11131
El Salvador,2433,1854,3374,3716,10822
Cyprus,10348,10076,10424,6986,10642
Luxembourg,8112,9209,9049,9057,10358
Philippines,0,29012,23458,7917,9921
