Country Name	Country Code	Indicator Name	Indicator Code	2017.00	2018.00	2019.00	2020.00	2021.00
Aruba	ABW	GDP (current US$)	NY.GDP.MKTP.CD	3092178770.95	3202234636.87	3310055865.92	2496648044.69	
Africa Eastern and Southern	AFE	GDP (current US$)	NY.GDP.MKTP.CD	1020647235171.22	991022252916.70	997534042075.19	921645942921.89	1082095608968.23
Afghanistan	AFG	GDP (current US$)	NY.GDP.MKTP.CD	18753469630.26	18053228578.89	18799450742.78	20116137325.82	
Africa Western and Central	AFW	GDP (current US$)	NY.GDP.MKTP.CD	683748746978.11	741689925173.43	794543045900.11	784445725634.79	835808395909.48
Angola	AGO	GDP (current US$)	NY.GDP.MKTP.CD	68972763787.15	77792940077.12	69309104806.63	53619071176.14	72546985708.57
Albania	ALB	GDP (current US$)	NY.GDP.MKTP.CD	13019689336.69	15156432309.90	15401830754.08	15131866270.59	18260043499.81
Andorra	AND	GDP (current US$)	NY.GDP.MKTP.CD	3000162081.12	3218419896.96	3155149347.81	2891001149.36	3329910723.76
Arab World	ARB	GDP (current US$)	NY.GDP.MKTP.CD	2584096654452.22	2785878075917.03	2808099764578.03	2496251185652.42	2850421035169.38
United Arab Emirates	ARE	GDP (current US$)	NY.GDP.MKTP.CD	385605506854.88	422215043584.97	417215559513.36	358868765174.92	
Argentina	ARG	GDP (current US$)	NY.GDP.MKTP.CD	643628665302.16	524819742918.67	452818426182.66	389591035520.68	491492700657.01
Armenia	ARM	GDP (current US$)	NY.GDP.MKTP.CD	11527458565.73	12457941907.03	13619291361.28	12641209802.11	13861183873.59
American Samoa	ASM	GDP (current US$)	NY.GDP.MKTP.CD	612000000.00	639000000.00	648000000.00	709000000.00	
Antigua and Barbuda	ATG	GDP (current US$)	NY.GDP.MKTP.CD	1467977777.78	1605944444.44	1687533333.33	1370281481.48	1471125925.93
Australia	AUS	GDP (current US$)	NY.GDP.MKTP.CD	1326882872011.46	1428529571351.06	1391952510370.48	1327836171068.51	1542659899992.54
Austria	AUT	GDP (current US$)	NY.GDP.MKTP.CD	417261151844.98	455168151938.94	445011872704.47	433258467676.52	477082467454.30
Azerbaijan	AZE	GDP (current US$)	NY.GDP.MKTP.CD	40865558912.39	47112941176.47	48174235294.12	42693000000.00	54622176470.59
Burundi	BDI	GDP (current US$)	NY.GDP.MKTP.CD	2712324087.28	2660123624.28	2581268125.79	2780510624.64	2902029385.83
Belgium	BEL	GDP (current US$)	NY.GDP.MKTP.CD	502764720556.35	543347368038.35	535376258146.67	521676942134.63	599879025377.51
Benin	BEN	GDP (current US$)	NY.GDP.MKTP.CD	12701654743.21	14262407011.48	14391686632.78	15651545331.54	17785640079.12
Burkina Faso	BFA	GDP (current US$)	NY.GDP.MKTP.CD	14106956830.09	15890065019.76	16178162030.07	17933606353.18	19737615114.37
Bangladesh	BGD	GDP (current US$)	NY.GDP.MKTP.CD	293754646182.39	321379023557.46	351238438542.79	373902134700.41	416264942893.33
Bulgaria	BGR	GDP (current US$)	NY.GDP.MKTP.CD	59199447421.49	66363422450.21	68915416141.96	69889347433.43	80271119426.11
Bahrain	BHR	GDP (current US$)	NY.GDP.MKTP.CD	35473776595.74	37802005319.15	38653318085.11	34723357446.81	38868663031.91
"Bahamas, The"	BHS	GDP (current US$)	NY.GDP.MKTP.CD	12357600000.00	12755800000.00	13192800000.00	9699500000.00	11208600000.00
Bosnia and Herzegovina	BIH	GDP (current US$)	NY.GDP.MKTP.CD	18079076426.87	20177422311.08	20201323282.55	19955120004.66	22571512867.28
