country,2017,2018,2019,2020,2021
World,9528,5388,16248,17443,32740
Argentina,4829,3381,13758,13608,24848
Indonesia,2728,665,1080,1266,6813
Japan,191,568,676,774,699
Senegal,0,0,0,946,171
Taipei Chinese,26,0,0,0,125
Pakistan,0,0,0,0,79
Singapore,0,1,0,2,4
Korea Republic of,159,0,25,0,0
Australia,0,0,0,0,0
Belgium,0,441,0,0,0
Myanmar,744,0,0,0,0
Canada,446,0,0,120,0
France,0,0,248,0,0
Malaysia,0,0,0,111,0
Nicaragua,55,47,0,0,0
Saudi Arabia,0,0,0,197,0
Spain,0,0,0,195,0
United Kingdom,0,45,0,0,0
United States of America,349,238,461,224,0
