country,2017,2018,2019,2020,2021
World,1403571,1345721,1269175,1416443,1530310
United States of America,978867,923787,852159,1017676,1118402
Japan,288008,280064,261846,247309,270109
China,11771,29273,52810,62189,28747
Canada,10911,12255,13200,11850,24365
Taipei Chinese,10379,13332,13237,10664,13494
Netherlands,7356,9853,5434,11893,12523
Korea Republic of,5001,5331,6117,5274,10123
Russian Federation,1643,3092,2220,5733,9641
France,7317,8682,9741,9473,7309
Hong Kong China,6076,6576,6958,6468,6583
Malaysia,8486,9427,8001,5092,6272
Belgium,8109,6109,8894,4415,5216
United Kingdom,15818,5492,7867,5527,3722
Singapore,3422,4941,4941,2706,3082
Trinidad and Tobago,2521,2001,1628,1255,2363
Germany,4283,5685,2521,2119,1441
Italy,2033,2973,1540,1048,1211
Australia,363,281,1546,821,1138
Viet Nam,24440,9181,1711,913,1072
Spain,1223,1106,992,1196,530
Greece,1192,1250,1261,601,522
Sweden,455,747,303,252,450
Dominican Republic,468,593,17,79,244
Jamaica,0,0,785,159,217
Turkey,224,298,419,201,197
Cyprus,337,277,100,132,193
Denmark,1115,603,429,118,189
Croatia,138,0,89,85,182
Portugal,636,378,0,134,177
Latvia,0,0,0,261,145
South Africa,0,0,220,0,119
Kazakhstan,0,0,0,0,110
Philippines,19,1662,538,236,102
United States Minor Outlying Islands,0,0,0,0,69
Brunei Darussalam,0,0,55,0,50
Montenegro,0,150,0,0,
Ukraine,84,0,0,357,
Argentina,0,0,0,0,
Myanmar,201,0,0,0,
Sri Lanka,43,0,0,0,
Colombia,0,0,114,0,
Jordan,0,2,0,0,
Kuwait,0,0,88,0,
Lebanon,16,0,81,0,
Lithuania,0,0,233,0,
"Macao, China",0,0,154,0,
Mauritius,0,0,53,0,
Morocco,143,81,70,0,
New Zealand,234,10,64,0,
Poland,76,158,0,0,
Timor-Leste,0,2,2,0,
Qatar,85,1,4,0,
Saudi Arabia,6,0,0,0,
Thailand,28,68,734,204,
United Arab Emirates,45,0,0,0,
